,$,private,public,id,float,integer,rpar,lpar,dot,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id SEMANTICTOKEN colon TYPE SEMANTICTOKEN SEMANTICEPSILON REPTFPARAMS3 SEMANTICARRAYSIZE SEMANTICMEMBERVARDECL semi,,,,,,,,,,,,,
SEMANTICMEMBERVARDECL,,,,,,,,,,SEMANTICMEMBERVARDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,,,,
OPTCLASSDECL2,,,,,,,,,,,,,,,,,,,OPTCLASSDECL2 → &epsilon,,,,,,,,,,,OPTCLASSDECL2 → isa SEMANTICEPSILON id SEMANTICTOKEN REPTOPTCLASSDECL22 SEMANTICISA,,,,,,,,,,,,,,,,,,
SEMANTICISA,,,,,,,,,,,,,,,,,,,SEMANTICISA → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELEXPR,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,
SEMANTICRELEXPR,,,,,,,SEMANTICRELEXPR → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq,RELOP → leq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,,,,
REPTSTART0,REPTSTART0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,
REPTAPARAMS1,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY SEMANTICTOKEN MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY SEMANTICTOKEN MEMBERDECL REPTCLASSDECL4,,,,,,,,,,,,,,,REPTCLASSDECL4 → &epsilon,,,,,,,,,,,,,,,,,REPTCLASSDECL4 → VISIBILITY SEMANTICTOKEN MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY SEMANTICTOKEN MEMBERDECL REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY SEMANTICTOKEN MEMBERDECL REPTCLASSDECL4,,,,,,,,,,
REPTFPARAMS3,,,,,,,REPTFPARAMS3 → &epsilon,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFUNCBODY1,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → &epsilon,,,,,,,,,,,,,,,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,,,
REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,REPTOPTCLASSDECL22 → &epsilon,,,,REPTOPTCLASSDECL22 → comma id SEMANTICTOKEN REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURNTYPE,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP SEMANTICTOKEN TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP SEMANTICTOKEN TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP SEMANTICTOKEN TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → &epsilon,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP SEMANTICTOKEN FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP SEMANTICTOKEN FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP SEMANTICTOKEN FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,,,,,STATBLOCK → &epsilon,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr SEMANTICEPSILON REPTSTATBLOCK1 rcurbr SEMANTICSTATBLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICSTATBLOCK,,,,,,,,,,SEMANTICSTATBLOCK → &epsilon,,,,,SEMANTICSTATBLOCK → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → FUNCTIONCALLORASIGNSTAT semi,,,,,,,STATEMENT → return lpar EXPR rpar SEMANTICRETURNSTAT semi,STATEMENT → write lpar EXPR rpar SEMANTICWRITESTAT semi,STATEMENT → read lpar VARIABLE rpar SEMANTICREADSTAT semi,STATEMENT → SEMANTICEPSILON while lpar RELEXPR rpar STATBLOCK SEMANTICWHILESTAT semi,,,STATEMENT → SEMANTICEPSILON if lpar RELEXPR rpar then STATBLOCK else STATBLOCK SEMANTICIFSTAT semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICRETURNSTAT,,,,,,,,,,SEMANTICRETURNSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICWRITESTAT,,,,,,,,,,SEMANTICWRITESTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICREADSTAT,,,,,,,,,,SEMANTICREADSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICIFSTAT,,,,,,,,,,SEMANTICIFSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICWHILESTAT,,,,,,,,,,SEMANTICWHILESTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTIONCALLORASIGNSTAT,,,,FUNCTIONCALLORASIGNSTAT → SEMANTICEPSILON id SEMANTICTOKEN ISFUNCTIONCALLORVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISFUNCTIONCALLORVARIABLE,,,,,,,,ISFUNCTIONCALLORVARIABLE → lpar APARAMS rpar AFTERFUNCTIONCALL,ISFUNCTIONCALLORVARIABLE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISFUNCTIONCALLORVARIABLE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,ISFUNCTIONCALLORVARIABLE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,
AFTERFUNCTIONCALL,,,,,,,,,AFTERFUNCTIONCALL → dot id SEMANTICTOKEN MIDDLESTATE,AFTERFUNCTIONCALL → SEMANTICFUNCTIONCALLSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTERVARIABLE,,,,,,,,,AFTERVARIABLE → dot id SEMANTICTOKEN MIDDLESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFTERVARIABLE → ENDASSIGN,
MIDDLESTATE,,,,,,,,MIDDLESTATE → lpar APARAMS rpar AFTERFUNCTIONCALL,MIDDLESTATE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLESTATE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,MIDDLESTATE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,
INDICELOOP,,,,,,,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,,,,,,,,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,,,,,,INDICELOOP → &epsilon,INDICELOOP → INDICE INDICELOOP,,,,,,INDICELOOP → &epsilon,INDICELOOP → &epsilon
ENDASSIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENDASSIGN → ASSIGNOP SEMANTICTOKEN EXPR SEMANTICASSIGNSTAT,
SEMANTICINDICELIST,,,,,,,SEMANTICINDICELIST → &epsilon,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,,,,,,,,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,,,,,,SEMANTICINDICELIST → &epsilon,,,,,,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon
SEMANTICASSIGNSTAT,,,,,,,,,,SEMANTICASSIGNSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICFUNCTIONCALLSTAT,,,,,,,,,,SEMANTICFUNCTIONCALLSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,,,,,,,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,,,,,,,,,,,,,,,,,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,
SEMANTICTERM,,,,,,,SEMANTICTERM → &epsilon,,,SEMANTICTERM → &epsilon,,,,,,,,,,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,,,,,,,,,,,SEMANTICTERM → &epsilon,,,,,,,,SEMANTICTERM → &epsilon
TYPE,,,,TYPE → id,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISIBILITY → &epsilon,VISIBILITY → &epsilon,,VISIBILITY → &epsilon,,,,,,,,,,
